start,end,গ্রাম পঞ্চায়েত,গ্রামের নাম ,সংসদ নং ,পাড়ার নাম ,টিউবওয়েলের ধরণ,ল্যান্ডমার্ক,মালিকের নাম,ইনস্টলেশনের তারিখ,ইনস্টলেশনের সময় জলের প্রথম স্তর,নলকূপের গভীরতা,কৃষিকাজে ব্যবহৃত টিউবওয়েলের শক্তি,টিউবওয়েলের ব্যবহার  ,টিউবওয়েলের ব্যবহার  /পানীয়,টিউবওয়েলের ব্যবহার  /গৃহস্থালী কার্যক্রম,টিউবওয়েলের ব্যবহার  /সেচ,টিউবওয়েলের ব্যবহার  /অন্যান্য,গ্রীষ্মকালে জল পাওয়া যায় না কি না,মার্চ - এপ্রিল,এপ্রিল - মে,মে - জুন,জলের গুণমান (আয়রন টেস্ট),মন্তব্য,নলকূপের ছবি,নলকূপের ছবি_URL,নলকূপের অবস্থান ,_নলকূপের অবস্থান _latitude,_নলকূপের অবস্থান _longitude,_নলকূপের অবস্থান _altitude,_নলকূপের অবস্থান _precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Himanshu Das er nikatbarti,,2008-06-11,600,950,Na,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,March,April,,,,1718102455173.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2Fe7c931e9-bfcf-4b84-8843-825b81d84967%2F1718102455173.jpg,21.7602579 88.4137371 -45.06610107421875 4.77,21.7602579,88.4137371,-45.06610107,4.77,348743267,e7c931e9-bfcf-4b84-8843-825b81d84967,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,1,,,,,,,,,
2024-06-11,2024-06-13,পাথরপ্রতিমা ,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Tapas Mondal er nikatbarti,,2019-06-11,,1000,Na,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718103468650.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F3826829b-85cc-4372-bf06-6077aeb80f79%2F1718103468650.jpg,21.7590363 88.4157152 -48.437652587890625 4.367,21.7590363,88.4157152,-48.43765259,4.367,348743315,3826829b-85cc-4372-bf06-6077aeb80f79,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,2,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Bhaktipada Das er nikatbarti,,2020-06-11,,1050,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718104007641.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F9865026d-9e99-45b8-8b9c-4b5639de495a%2F1718104007641.jpg,21.7588387 88.4182348 -55.767303466796875 4.418,21.7588387,88.4182348,-55.76730347,4.418,348743343,9865026d-9e99-45b8-8b9c-4b5639de495a,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,3,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Bimal Das er nikatbarti,,2023-06-11,,950,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718104571828.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F966ec4c5-6400-4580-a2dc-ab5acca64e45%2F1718104571828.jpg,21.757569 88.4195941 -63.72698974609375 5.0,21.757569,88.4195941,-63.72698975,5,348743361,966ec4c5-6400-4580-a2dc-ab5acca64e45,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,4,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Rohini Patra er nikatbarti,,2023-06-11,,1060,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718105023946.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F747065e7-0067-4403-9a57-31b41aef4ed5%2F1718105023946.jpg,21.7561876 88.4226281 -67.4674072265625 4.956,21.7561876,88.4226281,-67.46740723,4.956,348743387,747065e7-0067-4403-9a57-31b41aef4ed5,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,5,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,ব্যক্তিগত,Gandhi Patra er nikatbarti,Gandhi Patra,2009-06-11,,1200,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718105912795.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2Ff27a3464-b246-4503-9dd6-4bbe2afd126e%2F1718105912795.jpg,21.7549149 88.4235471 -58.87774658203125 3.985,21.7549149,88.4235471,-58.87774658,3.985,348743405,f27a3464-b246-4503-9dd6-4bbe2afd126e,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,6,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Tapas Patra er nikatbarti,,2015-06-11,,1060,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718106561717.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F902a1fcf-001f-4fb2-910e-b194bee50b89%2F1718106561717.jpg,21.7547812 88.423502 -78.89468383789062 4.777,21.7547812,88.423502,-78.89468384,4.777,348743432,902a1fcf-001f-4fb2-910e-b194bee50b89,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,7,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Mantucharan Manna,,1998-06-11,500,900,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,না,,,,,,1718107276841.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F6212bba1-ad80-452a-aac2-eab24c14e350%2F1718107276841.jpg,21.7537461 88.4172359 -60.61236572265625 4.66,21.7537461,88.4172359,-60.61236572,4.66,348743456,6212bba1-ad80-452a-aac2-eab24c14e350,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,8,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Muchiram maity er nikatbarti,,2019-06-11,,850,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718108040119.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2Fc78b182a-e5e4-4d01-9342-f7d69ed4061a%2F1718108040119.jpg,21.7574079 88.4145344 -56.259796142578125 4.561,21.7574079,88.4145344,-56.25979614,4.561,348743492,c78b182a-e5e4-4d01-9342-f7d69ed4061a,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,9,,,,,,,,,
2024-06-11,2024-06-13,বনশ্যামনগর,Shibnagar,13,Sarbodaypalli,পঞ্চায়েত,Kartik Parua,,2020-06-11,,930,,পানীয় গৃহস্থালী কার্যক্রম,1,1,0,0,হ্যাঁ,Ha,Ha,Ha,,,1718108479301.jpg,https://kc.kobotoolbox.org/media/original?media_file=prasari_s24%2Fattachments%2Ffded1b6cf0804904bb022e1dbfdead9c%2F4ed567ed-c055-4b95-8772-1e929076bf7d%2F1718108479301.jpg,21.756998 88.4099164 -42.849151611328125 4.903,21.756998,88.4099164,-42.84915161,4.903,348743516,4ed567ed-c055-4b95-8772-1e929076bf7d,2024-06-13,,,submitted_via_web,prasari_s24,vciL5xPiPRa8xiy55ZKFeY,,10,,,,,,,,,
